0,82.959788
1,81.859887
2,61.585008
3,82.227585
4,81.721266
5,69.570818
6,81.586535
7,59.117112
8,80.619633
9,79.705280
10,80.857588
11,79.371127
12,79.370454
13,67.593974
14,80.333163
15,72.730834
16,50.604993
17,79.087843
18,76.555524
19,76.666296
20,44.368313
21,77.669677
22,78.624274
23,77.818056
24,76.733773
25,78.331416
26,72.759889
27,68.462477
28,76.448525
29,78.019284
30,77.007896
31,76.357794
32,76.610574
33,75.418825
34,47.788229
35,75.979916
36,76.486138
37,75.354594
38,74.267927
39,75.252518
40,73.214954
41,76.319305
42,53.222427
43,75.371888
44,39.536462
45,75.744628
46,66.981350
47,74.517879
48,75.860193
49,37.919902
50,73.813421
51,70.428119
52,73.501977
53,71.596930
54,73.941975
55,74.247537
56,73.379557
57,73.552856
58,74.486198
59,74.490477
60,64.604450
61,53.868401
62,36.210784
63,74.388613
64,74.955830
65,74.251657
66,74.046120
67,68.563681
68,71.550641
69,74.357226
70,73.086468
71,72.332709
72,71.231620
73,71.728106
74,74.497472
75,40.053137
76,66.397753
77,71.185306
78,73.769802
79,73.129532
80,74.412904
81,72.876064
82,49.189617
83,33.395808
84,75.027047
85,73.441106
86,74.002412
87,72.729550
88,71.905767
89,71.887445
90,69.079452
91,74.579509
92,67.780875
93,72.534466
94,74.148943
95,72.735946
96,60.674530
97,72.315871
98,74.785857
99,71.976567
100,63.891463
101,74.293878
102,72.404498
103,71.350466
104,62.582097
105,72.643133
106,69.491719
107,71.331466
108,62.386093
109,72.228167
110,71.885524
111,73.460890
112,70.333853
113,71.031424
114,73.638541
115,66.835752
116,72.633946
117,72.817932
118,72.886044
119,39.183257
120,70.205209
121,40.902923
122,61.166542
123,71.533094
124,71.198853
125,71.900634
126,67.455348
127,72.219320
128,73.110585
129,70.988484
130,71.513189
131,67.309152
132,71.766826
133,72.024901
134,70.577125
135,71.641662
136,71.305125
137,71.249150
138,72.894699
139,72.610900
140,71.103694
141,71.438657
142,72.256586
143,71.547283
144,66.007172
145,37.140784
146,72.001214
147,71.518143
148,63.994897
149,39.511986
150,70.999847
151,71.415248
152,70.594267
153,70.246293
154,68.779882
155,71.016177
156,37.202102
157,58.061475
158,39.741528
159,68.335922
160,70.631251
161,71.257251
162,70.640364
163,55.200543
164,61.930308
165,64.634816
166,69.090464
167,70.874825
168,69.945687
169,70.939959
170,72.321235
171,71.105725
172,30.358247
173,70.813047
174,63.268314
175,71.652022
176,69.736060
177,72.089832
178,69.412856
179,70.900693
180,70.561068
181,65.210627
182,70.548731
183,70.359460
184,69.868977
185,70.186114
186,68.735846
187,62.001468
188,70.482386
189,70.354640
190,71.692443
191,71.572732
192,66.533056
193,71.205500
194,69.755076
195,69.424854
196,70.407913
197,35.121387
198,70.663737
199,44.736038
200,56.750954
201,50.148707
202,69.585093
203,69.809197
204,69.126880
205,70.224636
206,71.393442
207,62.126458
208,69.622331
209,64.413170
210,61.337910
211,69.883149
212,68.855260
213,68.778941
214,70.433466
215,70.919530
216,69.140013
217,69.384134
218,70.278217
219,71.335439
220,69.936594
221,70.055489
222,69.615066
223,71.217377
224,70.074308
225,69.545762
226,69.524551
227,69.187123
228,70.244793
229,68.933939
230,70.623057
231,69.749752
232,41.128970
233,70.394865
234,58.462559
235,69.235861
236,68.910796
237,69.002389
238,66.169782
239,48.559231
240,69.985337
241,70.564287
242,50.039425
243,70.345965
244,69.332585
245,68.325857
246,68.857355
247,66.247153
248,69.422107
249,44.095144
250,54.318938
251,69.287386
252,68.808167
253,65.780593
254,69.145834
255,69.466624
256,69.279863
257,69.265621
258,69.438735
259,67.580162
260,70.577442
261,55.036094
262,46.358768
263,68.434228
264,58.360700
265,70.672437
266,41.571631
267,68.071955
268,69.152793
269,68.860041
270,69.704751
271,68.446289
272,69.022423
273,69.259520
274,38.371950
275,68.946669
276,68.493143
277,68.720492
278,68.987240
279,70.338848
280,69.002293
281,68.560609
282,70.314939
283,37.891009
284,67.829902
285,68.960776
286,66.972476
287,68.031414
288,68.536455
289,68.378552
290,63.123141
291,68.743165
292,69.606449
293,66.228615
294,68.639682
295,64.291858
296,68.941219
297,68.116513
298,68.873710
299,67.908875
300,69.987825
301,64.599796
302,67.766145
303,69.800394
304,68.875897
305,52.240218
306,68.204775
307,69.063979
308,68.741653
309,53.720247
310,69.592639
311,65.070140
312,68.192204
313,68.941924
314,66.678082
315,34.093473
316,68.481951
317,68.225111
318,69.156849
319,68.577235
320,69.733637
321,66.890093
322,69.555085
323,68.173165
324,68.081146
325,68.041171
326,68.410821
327,66.617698
328,61.562135
329,67.832654
330,68.078860
331,69.007088
332,35.000247
333,67.535593
334,68.704115
335,69.390641
336,60.154856
337,66.050315
338,68.207262
339,68.177858
340,69.994288
341,62.044897
342,68.562198
343,67.609872
344,66.871462
345,57.645627
346,69.272680
347,67.853101
348,68.895303
349,68.614588
350,68.356852
351,67.479040
352,49.453527
353,68.420247
354,68.603199
355,68.664672
356,68.099576
357,67.817941
358,68.255397
359,67.878995
360,46.229566
361,67.666973
362,68.096735
363,66.577565
364,67.563667
365,67.574281
366,67.517739
367,68.315929
368,56.307957
369,69.129969
370,70.189488
371,67.147590
372,68.126362
373,67.695088
374,67.199935
375,66.964641
376,68.011085
377,37.283292
378,67.631484
379,69.883826
380,39.551436
381,67.253509
382,69.447824
383,49.206721
384,68.112903
385,67.779522
386,67.098587
387,68.348129
388,66.583028
389,68.146690
390,67.311175
391,65.937095
392,67.824333
393,66.918929
394,69.641277
395,69.000738
396,66.445729
397,67.103629
398,68.063701
399,67.496878
400,66.147043
401,66.005583
402,63.737072
403,68.656566
404,63.082614
405,68.000167
406,64.693969
407,69.247672
408,67.306657
409,66.983302
410,68.137364
411,65.692524
412,67.114999
413,67.714389
414,62.330928
415,67.458754
416,32.173261
417,63.744112
418,66.635649
419,69.038794
420,67.919835
421,46.002298
422,67.805431
423,67.700478
424,67.068058
425,67.893751
426,59.364168
427,66.423323
428,67.746720
429,67.207511
430,67.752442
431,48.616097
432,67.144284
433,67.865530
434,61.313032
435,67.862900
436,43.948725
437,68.490236
438,66.812985
439,66.644121
440,68.068475
441,67.895497
442,60.235913
443,37.008189
444,67.628512
445,67.400719
446,67.681028
447,69.474697
448,67.045636
449,67.872395
450,67.638928
451,68.645456
452,56.827827
453,66.788545
454,39.048553
455,66.383173
456,48.957299
457,67.354007
458,65.940672
459,60.979856
460,67.077585
461,67.181835
462,54.998615
463,67.004150
464,58.937518
465,66.925746
466,64.278641
467,66.535997
468,67.354480
469,56.446824
470,68.459832
471,67.585316
472,67.543656
473,66.914990
474,67.752954
475,67.242729
476,67.541546
477,67.285683
478,67.303503
479,64.588030
480,69.002152
481,66.928407
482,66.851721
483,67.246247
484,67.703553
485,61.410949
486,68.074984
487,32.851214
488,66.714365
489,64.647878
490,66.844524
491,67.069271
492,66.094278
493,28.203159
494,66.730524
495,68.683349
496,68.009121
497,64.723735
498,34.302835
499,67.150677
500,68.365957
501,44.407417
502,68.580977
503,66.758836
504,67.680755
505,66.280140
506,67.216543
507,68.119543
508,66.200139
509,67.906330
510,67.877483
511,66.813487
512,67.883750
513,62.070501
514,58.752116
515,69.552072
516,66.821547
517,67.247559
518,67.945348
519,43.721857
520,67.766529
521,56.727875
522,66.709559
523,67.313797
524,66.471279
525,59.381402
526,68.911789
527,37.349947
528,67.831305
529,53.200501
